name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Gendron-Celles,gendron-celles,,,,,,be,4.964607,50.211235,26.810056,300
Genk,genk,,,,,,be,5.497685,50.967057,42.150838,300
Genly,genly,,,,,,be,3.911638,50.390642,27.128492,300
Gent-Dampoort,gent-dampoort,gand-dampoort,,,ghent-dampoort,,be,3.740591,51.056365,196.829609,240
Gent-Sint-Pieters,gent-sint-pieters,gand-saint-pierre,,,ghent-sint-pieters,gent st pieters,be,3.710675,51.035896,551.078212,300
Gentbrugge,gentbrugge,,,,,,be,3.756322,51.038647,177.743017,300
Genval,genval,,,,,,be,4.514832,50.725697,158.215084,300
Geraardsbergen,geraardsbergen,grammont,,,,,be,3.872328,50.771137,137.561453,300
Ghlin,ghlin,,,,,,be,3.906343,50.487411,103.26257,300
Glons,glons,,glaaien,,,,be,5.535431,50.750426,30.541899,300
Godarville,godarville,,,,,,be,4.290308,50.492795,31.284916,300
Godinne,godinne,,,,,,be,4.86996,50.348914,60.72905,300
Goebelsmühle,goebelsmuhle,,,,,,lu,49.92104,6.053335,0,
Gontrode,gontrode,,,,,,be,3.801672,50.980199,41.849162,300
Gouvy,gouvy,,,,,,be,5.953906,50.189409,27.385475,180
Gouvy-Frontiere,gouvy-frontiere,,,,,,be,5.968613,50.171653,29.407821,120
Gouy-lez-Pieton,gouy-lez-pieton,,,,,,be,4.325123,50.497065,31.284916,300
Graide,graide,,,,,,be,5.043047,49.934134,27.5,300
Groenendaal,groenendaal,groenendael,,,,,be,4.449489,50.766103,158.377095,300
Groot-Bijgaarden,groot-bijgaarden,grand-bigard,,,,,be,4.273543,50.868337,59.201117,300
Grupont,grupont,,,,,,be,5.280524,50.0906,56.692737,300
Haacht,haacht,,,,,,be,4.613309,50.966428,67.139665,300
Haaltert,haaltert,,,,,,be,4.023958,50.906838,71.100559,300
Habay,habay,,,,,,be,5.632685,49.718249,52.589385,300
Hainin,hainin,,,,,,be,3.766893,50.428019,32.826816,300
